target,source,i,j,weight,dalpha_dAij,domega_dAij,elasticity_alpha,elasticity_omega,priority,dG_dAij,elasticity_G
CA1 Pyramidal,CA1 Oriens Alveus,33,49,0.004512726443325547,-1.2417618080363628e-06,0.006024590403478796,-5.603731347437436e-09,2.718732842398409e-05,2.718732842398409e-05,,
CA3c Pyramidal,DG Granule,15,0,0.004262683440604977,0.0001564520162297019,0.006294336826774045,6.669054188316113e-07,2.68307653610798e-05,2.68307653610798e-05,,
CA2 Pyramidal,CA1 SO SO,28,58,0.008060395954807866,-9.361967877570682e-07,0.003323863435698767,-7.546116800941192e-09,2.6791655391440115e-05,2.6791655391440115e-05,,
EC LIII Pyramidal Stellate,CA1 Basket,73,38,0.006599204070861001,-3.785957295811966e-05,0.0039374821879227,-2.498430479862823e-07,2.5984248483482163e-05,2.5984248483482163e-05,,
MEC LII Stellate,CA3 Pyramidal,65,14,0.00233610471595685,0.010603516760245187,0.0005347025147230414,2.4770925509336282e-05,1.2491210662784841e-06,2.4770925509336282e-05,,
LEC LIII Complex Pyramidal,EC LII III Pyramidal Tripolar,69,67,0.00021812849152541016,0.11098507721834447,7.565468562755482e-09,2.4209007475468644e-05,1.6502442452767663e-12,2.4209007475468644e-05,,
CA1 Pyramidal,CA1 SO SO,33,58,0.00918562333154743,-1.2183058794979058e-06,0.0025046593409162594,-1.1190898911677375e-08,2.3006857279498603e-05,2.3006857279498603e-05,,
CA2 Pyramidal,CA1 Bistratified,28,41,0.004029473630638766,-5.889068409885074e-06,0.005663953934887372,-2.3729845866659672e-08,2.282275302578134e-05,2.282275302578134e-05,,
MEC LIII Complex Pyramidal,MEC LII Stellate,70,65,0.0007103499149357363,0.03104891946912898,4.8186651253562997e-08,2.20555973037423e-05,3.4229383619006466e-11,2.20555973037423e-05,,
EC LI II Pyramidal Fan,EC LII III Pyramidal Tripolar,63,67,0.001270360484954009,0.0173280212637908,3.2917214670144284e-07,2.201283349596266e-05,4.181672879169971e-10,2.201283349596266e-05,,
EC LI II Multipolar Pyramidal,MEC LV Pyramidal,62,78,0.0013876786247492751,0.014796639383217453,3.527307374697379e-07,2.0532980190214157e-05,4.894769046788035e-10,2.0532980190214157e-05,,
